t.1,t.2,t.3,t.4,t.5,t.6,t.7,t.8,t.9,t.10,t.11,t.12,t.13,t.14,t.15,t.16,t.17,t.18,t.19,t.20,t.21,t.22,t.23,t.24
38.46153846153847,36.923076923077005,33.84615384615389,33.84615384615389,38.46153846153847,38.46153846153847,32.307692307692335,29.230769230769315,41.53846153846158,38.46153846153847,36.923076923077005,35.38461538461545,36.923076923077005,40.00000000000002,40.00000000000002,47.692307692307715,46.15384615384615,52.3076923076924,36.923076923077005,41.53846153846158,38.46153846153847,41.53846153846158,41.53846153846158,40.437554929914654
38.46153846153847,40.00000000000002,30.76923076923077,36.923076923077005,33.84615384615389,35.38461538461545,32.307692307692335,33.84615384615389,26.1538461538462,26.1538461538462,44.6153846153847,43.07692307692314,33.84615384615389,33.84615384615389,35.38461538461545,40.00000000000002,36.923076923077005,30.76923076923077,38.46153846153847,38.46153846153847,30.76923076923077,33.84615384615389,43.07692307692314,43.07692307692314
52.3076923076924,36.923076923077005,33.84615384615389,46.15384615384615,43.07692307692314,52.3076923076924,38.46153846153847,35.38461538461545,35.38461538461545,30.76923076923077,29.230769230769315,27.69230769230776,26.1538461538462,26.1538461538462,29.230769230769315,40.00000000000002,41.53846153846158,33.84615384615389,33.84615384615389,33.84615384615389,30.76923076923077,33.84615384615389,47.692307692307715,38.253661731470004
38.46153846153847,38.46153846153847,35.38461538461545,40.00000000000002,29.230769230769315,30.76923076923077,29.230769230769315,33.84615384615389,40.00000000000002,33.84615384615389,41.53846153846158,33.84615384615389,35.38461538461545,32.307692307692335,33.84615384615389,38.46153846153847,35.38461538461545,41.53846153846158,33.84615384615389,33.84615384615389,41.53846153846158,46.15384615384615,46.15384615384615,41.367349109765314
35.6486131483577,34.70605217714196,33.84615384615389,33.84615384615389,38.46153846153847,30.76923076923077,30.76923076923077,33.84615384615389,35.38461538461545,29.230769230769315,33.84615384615389,30.76923076923077,35.38461538461545,41.53846153846158,36.923076923077005,47.692307692307715,61.53846153846154,50.76923076923083,38.46153846153847,43.07692307692314,35.38461538461545,36.923076923077005,33.84615384615389,35.38461538461545
52.3076923076924,47.692307692307715,50.76923076923083,50.76923076923083,50.76923076923083,49.23076923076927,41.53846153846158,36.923076923077005,41.53846153846158,36.923076923077005,44.6153846153847,41.53846153846158,40.00000000000002,43.07692307692314,43.07692307692314,43.07692307692314,46.15384615384615,43.07692307692314,40.00000000000002,33.84615384615389,38.46153846153847,40.00000000000002,38.46153846153847,43.07692307692314
33.84615384615389,29.230769230769315,44.6153846153847,41.53846153846158,58.46153846153853,63.076923076923094,35.38461538461545,46.15384615384615,41.53846153846158,49.23076923076927,33.84615384615389,38.46153846153847,52.3076923076924,50.76923076923083,64.61538461538467,58.46153846153853,44.6153846153847,41.53846153846158,38.46153846153847,38.46153846153847,38.46153846153847,41.53846153846158,50.76923076923083,41.53846153846158
35.38461538461545,35.38461538461545,75.38461538461547,80.00000000000004,46.15384615384615,43.07692307692314,40.00000000000002,33.84615384615389,55.38461538461541,66.15384615384622,58.46153846153853,32.307692307692335,30.76923076923077,47.692307692307715,56.92307692307696,64.61538461538467,60.000000000000085,27.69230769230776,15.384615384615385,29.230769230769315,49.23076923076927,49.23076923076927,30.76923076923077,26.1538461538462
64.61538461538467,66.15384615384622,44.6153846153847,36.923076923077005,38.46153846153847,41.53846153846158,36.923076923077005,30.76923076923077,26.1538461538462,26.1538461538462,33.84615384615389,36.923076923077005,35.38461538461545,33.84615384615389,32.307692307692335,35.38461538461545,38.46153846153847,33.84615384615389,44.6153846153847,41.53846153846158,36.923076923077005,49.23076923076927,46.15384615384615,35.38461538461545
41.53846153846158,41.53846153846158,35.38461538461545,35.38461538461545,35.38461538461545,36.923076923077005,35.38461538461545,36.923076923077005,33.84615384615389,38.46153846153847,35.38461538461545,35.38461538461545,36.923076923077005,35.38461538461545,26.1538461538462,36.923076923077005,35.38461538461545,33.84615384615389,35.38461538461545,40.00000000000002,41.53846153846158,36.923076923077005,35.38461538461545,38.46153846153847
36.923076923077005,38.46153846153847,30.76923076923077,36.923076923077005,36.923076923077005,36.923076923077005,32.307692307692335,33.84615384615389,36.923076923077005,23.076923076923077,33.84615384615389,38.46153846153847,41.53846153846158,26.1538461538462,27.69230769230776,18.461538461538503,15.384615384615385,20.000000000000064,23.076923076923077,40.00000000000002,46.15384615384615,52.3076923076924,38.46153846153847,32.307692307692335
23.076923076923077,18.461538461538503,23.076923076923077,26.1538461538462,27.69230769230776,26.1538461538462,18.461538461538503,10.769230769230813,16.923076923076945,15.384615384615385,13.846153846153934,18.461538461538503,20.000000000000064,21.538461538461625,23.076923076923077,35.38461538461545,41.53846153846158,41.53846153846158,36.923076923077005,43.07692307692314,27.69230769230776,21.538461538461625,20.000000000000064,13.846153846153934
43.07692307692314,41.53846153846158,32.307692307692335,35.38461538461545,38.46153846153847,33.84615384615389,29.230769230769315,29.230769230769315,26.1538461538462,32.307692307692335,35.38461538461545,36.923076923077005,33.84615384615389,29.230769230769315,40.00000000000002,38.46153846153847,33.84615384615389,32.307692307692335,33.84615384615389,33.84615384615389,35.38461538461545,47.692307692307715,44.6153846153847,46.15384615384615
33.84615384615389,36.923076923077005,33.84615384615389,29.230769230769315,36.923076923077005,35.38461538461545,40.00000000000002,36.923076923077005,29.230769230769315,32.307692307692335,33.84615384615389,27.69230769230776,33.84615384615389,36.923076923077005,36.923076923077005,35.38461538461545,33.84615384615389,36.923076923077005,35.38461538461545,36.923076923077005,36.923076923077005,46.15384615384615,36.923076923077005,36.923076923077005
38.46153846153847,44.6153846153847,32.307692307692335,47.692307692307715,46.15384615384615,49.23076923076927,72.30769230769235,61.53846153846154,55.38461538461541,58.46153846153853,46.15384615384615,40.00000000000002,35.38461538461545,29.230769230769315,33.84615384615389,38.46153846153847,36.923076923077005,33.84615384615389,32.307692307692335,33.84615384615389,30.76923076923077,36.923076923077005,36.923076923077005,40.00000000000002
43.07692307692314,36.923076923077005,29.230769230769315,21.538461538461625,21.538461538461625,21.538461538461625,21.538461538461625,47.692307692307715,52.3076923076924,52.3076923076924,55.38461538461541,49.23076923076927,44.6153846153847,40.00000000000002,36.923076923077005,44.6153846153847,47.692307692307715,47.692307692307715,56.92307692307696,67.69230769230778,58.46153846153853,50.76923076923083,49.23076923076927,52.3076923076924
35.38461538461545,26.1538461538462,12.307692307692374,18.461538461538503,15.384615384615385,16.923076923076945,18.461538461538503,12.307692307692374,20.000000000000064,23.076923076923077,30.76923076923077,38.46153846153847,32.307692307692335,27.69230769230776,26.1538461538462,29.230769230769315,36.923076923077005,36.923076923077005,29.230769230769315,27.69230769230776,18.461538461538503,35.38461538461545,33.84615384615389,32.307692307692335
64.61538461538467,50.76923076923083,63.076923076923094,63.076923076923094,50.76923076923083,43.07692307692314,44.6153846153847,43.07692307692314,52.3076923076924,56.92307692307696,72.30769230769235,41.53846153846158,43.07692307692314,41.53846153846158,44.6153846153847,56.92307692307696,49.23076923076927,56.92307692307696,50.76923076923083,63.076923076923094,53.84615384615385,52.3076923076924,47.692307692307715,40.00000000000002
67.69230769230778,58.46153846153853,41.53846153846158,43.07692307692314,44.6153846153847,16.923076923076945,18.461538461538503,24.615384615384635,27.69230769230776,26.1538461538462,15.384615384615385,26.1538461538462,20.000000000000064,35.38461538461545,30.76923076923077,15.384615384615385,38.46153846153847,26.1538461538462,40.00000000000002,44.6153846153847,32.307692307692335,30.76923076923077,33.84615384615389,36.923076923077005
